Username	Machine	Creation_date
chmcal	ARC1	2016-11-29 16:31:31.06
chmcal	ARC2	2016-11-29 16:31:39.84
chmcgri	ARC1	2016-06-02 10:05:16.0
chmcgri	ARC2	2016-06-02 10:05:20.0
chmcje	ARC1	2016-07-12 12:37:45.0
chmcje	ARC2	2016-07-12 12:37:52.0
chmcrs	ARC1	2010-02-23 14:04:03.35
chmcsy	ARC1	2016-10-03 15:22:44.0
chmcsy	ARC2	2016-10-03 15:22:47.0
chmcsy	ARC3	2017-03-20 16:53:51.617
chmdma	ARC1	2012-06-08 17:06:16.0
chmdma	ARC2	2014-01-13 12:57:22.3
chmdma	ARC3	2017-04-07 10:50:20.0
chmdrglo	ARC1	2011-10-07 13:46:45.0
chmdsh	ARC1	2011-02-15 14:25:21.93
chmdsh	ARC2	2014-08-11 17:16:47.0
chmdst	ARC1	2016-10-20 08:13:40.0
chmdst	ARC2	2016-10-20 08:13:43.0
chmema	ARC1	2013-05-21 13:15:04.0
chmgst	ARC1	2012-10-18 09:45:50.0
chmgst	ARC2	2014-02-10 11:35:37.97
chmgw	ARC1	2015-02-09 12:28:40.767
chmgw	ARC2	2015-02-09 12:28:44.55
chmhmw	ARC1	2015-01-23 11:02:14.41
chmhmw	ARC2	2015-01-23 11:02:19.93
chmjbro	ARC1	2015-06-25 10:14:35.0
chmjbro	ARC2	2015-06-25 10:14:39.0
chmjcj	ARC1	2011-12-08 08:33:14.733
chmjdc	ARC2	2017-06-08 15:44:56.0
chmjdc	ARC3	2017-06-08 15:44:59.0
chmjgm	ARC1	2012-09-14 16:20:11.0
chmjgm	ARC2	2014-10-22 12:28:28.0
chmjgm	ARC3	2018-07-02 11:49:40.0
chmjk	ARC1	2012-03-01 13:45:04.14
chmjke	ARC2	2017-03-21 11:08:32.513
chmjke	ARC3	2017-03-21 11:08:42.267
chmjle	ARC2	2017-04-10 10:49:00.0
chmjle	ARC3	2017-04-10 10:49:04.0
chmjm	ARC1	2016-10-12 10:24:37.0
chmjm	ARC2	2016-10-12 10:24:39.0
chmjm	MARC1	2016-10-11 08:07:21.0
chmjmcp	ARC1	2010-11-16 14:00:06.7
chmjmcp	ARC1	2010-11-16 15:31:14.83
chmjmcp	ARC2	2018-07-16 14:07:49.0
chmjmcp	ARC3	2018-07-16 14:07:53.0
chmjpp	ARC1	2012-03-01 13:46:29.763
chmkd	ARC1	2014-11-21 08:55:42.833
chmkd	ARC2	2014-11-21 08:55:46.93
chmkjsi	ARC1	2011-05-04 16:35:00.0
chmkjsi	ARC2	2014-03-03 11:42:16.927
chmkjsi	ARC3	2017-03-20 15:35:07.527
chmksa	ARC1	2011-07-01 12:31:38.0
chmksa	ARC2	2013-12-11 10:33:25.817
chmlo	ARC1	2011-11-11 14:20:28.4
