Username	Machine	Username_status	lapse_date	status	Dept	Faculty
pmlrjo	ARC1	d	2012-11-05 00:00:00.0	P/G	PRE	Faculty of Engineering
pmlsl	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmlsl	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmmab	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmmab	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmmab	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmmei	ARC2	a	n/a	P/G	MEN	Faculty of Engineering
pmmei	ARC3	a	n/a	P/G	MEN	Faculty of Engineering
pmmgh	ARC1	d	2012-07-02 00:00:00.0	Alumni	PRE	Faculty of Engineering
pmmm	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmmm	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmmn	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmmsai	ARC1	d	2012-10-15 00:00:00.0	Alumni	PRE	Faculty of Engineering
pmmud	ARC1	d	2012-01-16 00:00:00.0	Alumni	PRE	Faculty of Engineering
pmmug	ARC1	d	2013-07-08 00:00:00.0	Alumni	PRE	Faculty of Engineering
pmmv	ARC1	l	2017-06-16 14:58:27.0	Recent Alumni	MEN	Faculty of Engineering
pmngs	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmngs	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmnkb	ARC2	l	2018-03-15 00:00:00.0	P/G	PRE	Faculty of Engineering
pmnkb	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmof	ARC1	d	2015-02-19 00:00:00.0	P/G	PRE	Faculty of Engineering
pmof	ARC2	d	2015-02-19 00:00:00.0	P/G	PRE	Faculty of Engineering
pmpje	ARC1	d	2012-01-16 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmrgl	ARC1	d	2017-06-16 14:58:27.0	Recent Alumni	PRE	Faculty of Engineering
pmrh	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmrh	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmrjj	ARC2	d	2016-06-02 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmrjj	ARC1	d	2016-06-02 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmrka	ARC1	d	2016-06-07 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmrmk	ARC1	d	2015-09-17 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmrp	ARC1	d	2017-06-16 14:58:27.0	Alumni	PRE	Faculty of Engineering
pmsakh	ARC2	l	2018-07-25 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmsakh	ARC1	l	2017-06-16 14:58:27.0	Recent Alumni	PRE	Faculty of Engineering
pmsb	ARC2	d	2015-02-04 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmsb	ARC1	d	2015-02-04 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmsmo	ARC1	d	2014-07-10 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmsnay	ARC1	d	2015-08-17 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmsso	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmsso	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmsso	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmtcaj	ARC3	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
pmtcaj	ARC2	a	n/a	Staff	AMT	Faculty of Maths & Physical Sciences
pmtcaj	ARC1	l	2018-01-17 11:46:49.413	Staff	AMT	Faculty of Maths & Physical Sciences
pmtdgh	ARC1	l	2017-06-16 14:58:27.0	Staff	PMT	Faculty of Maths & Physical Sciences
pmtdgh	ARC2	a	n/a	Staff	PMT	Faculty of Maths & Physical Sciences
pmtgt	ARC1	d	2017-05-02 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmtgt	ARC2	d	2017-05-02 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmth	ARC2	d	2014-09-30 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmth	ARC1	d	2014-09-30 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmtjf	ARC1	d	2015-03-02 00:00:00.0	P/G	PRE	Faculty of Engineering
pmtjf	ARC2	d	2015-03-02 00:00:00.0	P/G	PRE	Faculty of Engineering
pmtjj	ARC1	d	2015-09-30 07:42:31.0	Staff	MAT	Faculty of Maths & Physical Sciences
pmtjms	ARC1	l	2017-06-16 14:58:27.0	Staff	PMT	Faculty of Maths & Physical Sciences
pmtjms	ARC2	a	n/a	Staff	PMT	Faculty of Maths & Physical Sciences
pmtjms	ARC3	a	n/a	Staff	PMT	Faculty of Maths & Physical Sciences
pmtsm	ARC1	d	2016-04-12 13:14:01.0	Staff	AMT	Faculty of Maths & Physical Sciences
pmtsm	ARC2	d	2016-04-12 13:14:01.0	Staff	AMT	Faculty of Maths & Physical Sciences
pmttw	ARC2	a	n/a	Staff	PMT	Faculty of Maths & Physical Sciences
pmttw	ARC3	a	n/a	Staff	PMT	Faculty of Maths & Physical Sciences
pmtvn	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmtvn	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmvh	ARC2	a	n/a	P/G	PRE	Faculty of Engineering
pmvh	ARC3	a	n/a	P/G	PRE	Faculty of Engineering
pmwd	ARC1	l	2017-06-16 14:58:27.0	Recent Alumni	PRE	Faculty of Engineering
pmwd	ARC2	l	2018-05-17 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmwl	ARC2	d	2015-04-15 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmwl	ARC1	d	2015-04-15 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmxy	ARC1	d	2015-04-30 00:00:00.0	P/G	PRE	Faculty of Engineering
pmxy	ARC2	d	2015-04-30 00:00:00.0	P/G	PRE	Faculty of Engineering
pmyfe	ARC1	d	2016-04-11 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmyfe	ARC2	d	2016-04-11 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmys	ARC2	l	2018-03-15 00:00:00.0	P/G	PRE	Faculty of Engineering
pmys	ARC1	l	2017-06-16 14:58:27.0	P/G	PRE	Faculty of Engineering
pmzh	ARC1	l	2017-06-16 14:58:27.0	Recent Alumni	PRE	Faculty of Engineering
pmzh	ARC2	l	2018-05-17 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
pmzl	ARC1	d	2014-06-19 00:00:00.0	Recent Alumni	PRE	Faculty of Engineering
prcaa	ARC1	d	2012-07-11 12:20:55.0	Staff	PHY	Faculty of Maths & Physical Sciences
prchfc	ARC2	a	n/a	Staff	PRC	Faculty of Maths & Physical Sciences
prchfc	ARC3	a	n/a	Staff	PRC	Faculty of Maths & Physical Sciences
prcjsm	ARC2	a	n/a	Staff	PRC	Faculty of Maths & Physical Sciences
prcjsm	ARC3	a	n/a	Staff	PRC	Faculty of Maths & Physical Sciences
prcjsm	ARC1	l	2017-06-16 14:58:28.0	Staff	PRC	Faculty of Maths & Physical Sciences
prcret	ARC2	a	n/a	Staff	PRC	Faculty of Maths & Physical Sciences
prcret	ARC3	a	n/a	Staff	PRC	Faculty of Maths & Physical Sciences
